original_field,mapped_field,count,sample_files
18 LENGTH OF RESIDENCE (For Hospitals,18 LENGTH OF RESIDENCE (For Hospitals,21,"Booze Jr, William.txt; Carter, William Arthur.txt; Murray, Harvey E.txt"
18 Former or usual residence,18 Former or usual residence,20,"Ashton, Ernest.txt; Brown, Thomas.txt; Dennis, Irvin.txt"
18. BURIAL,18. BURIAL,20,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
6 DATE OF BIRTH (Day),DATE_OF_BIRTH_Day,20,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
6 DATE OF BIRTH (Month),DATE_OF_BIRTH_Month,20,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
6 DATE OF BIRTH (Year),DATE_OF_BIRTH_Year,20,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
16 DATE OF DEATH (Day),DATE_OF_DEATH_Day,19,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
16 DATE OF DEATH (Month),DATE_OF_DEATH_Month,19,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
16 DATE OF DEATH (Year),DATE_OF_DEATH_Year,19,"Ashton, Ernest.txt; Booze Jr, William.txt; Brown, Thomas.txt"
18 LENGTH OF RESIDENCE (For HOSPITALS,18 LENGTH OF RESIDENCE (For HOSPITALS,18,"Jones, James.txt; Richardson, Alexander.txt; Robinson, Paul.txt"
Contributory (Secondary),CAUSE_OF_DEATH_Contributory_Secondary,18,"Bacon, John Henry.txt; Barnes, Joseph.txt; Brown, Thomas.txt"
DATE OF BURIAL,DATE OF BURIAL,18,"Bacon, John Henry.txt; Barnes, Joseph.txt; Brown, Thomas.txt"
FULL NAME,FULL_NAME,18,"Anderson, Arthur.txt; Barnes, Joseph.txt; Carter, William Arthur.txt"
(Signed),(Signed),17,"Chinn, Purnell.txt; Corry, Raymond.txt; Davis, William C..txt"
County,County,17,"Barnes, Joseph.txt; Carter, William Arthur.txt; Chinn, Purnell.txt"
Ward,Ward,17,"Booze Jr, William.txt; Chinn, Purnell.txt; Clayton, Paul.txt"
1 PLACE OF DEATH Village or City,PLACE_OF_DEATH_Village_or_City,16,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 Where was disease contracted,18 Where was disease contracted,15,"Ashton, Ernest.txt; Dickerson, Ira.txt; Evans, James.txt"
(Address),(Address),14,"Chinn, Purnell.txt; Davis, William C..txt; Dickerson, Ira.txt"
17 and that death occurred on the date stated above,17 and that death occurred on the date stated above,14,"Ashton, Ernest.txt; Booze Jr, William.txt; Corry, Raymond.txt"
19 DATE OF BURIAL,19 DATE OF BURIAL,14,"Blanks, James.txt; Dennis, Louis.txt; Dorsey, Henry.txt"
22. I HEREBY CERTIFY,22. I HEREBY CERTIFY,14,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
COLOR OR RACE,COLOR OR RACE,14,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
Former or usual residence,Former or usual residence,14,"Barnes, Joseph.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
SEX,SEX,14,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
SINGLE,SINGLE,14,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
20 UNDERTAKER ADDRESS,UNDERTAKER,13,"Ashton, Ernest.txt; Blanks, James.txt; Brown, Thomas.txt"
BIRTHPLACE (State or country),BIRTHPLACE (State or country),13,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
MAIDEN NAME OF MOTHER,MAIDEN NAME OF MOTHER,13,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
NAME OF FATHER,NAME OF FATHER,13,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
UNDERTAKER,UNDERTAKER,13,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
7 AGE mos.,AGE_Months,12,"Booze Jr, William.txt; Brown, Thomas.txt; Corry, Raymond.txt"
7 AGE yrs.,AGE_Years,12,"Booze Jr, William.txt; Brown, Thomas.txt; Corry, Raymond.txt"
8 OCCUPATION (b) General nature of industry,8 OCCUPATION (b) General nature of industry,12,"Ashton, Ernest.txt; Bacon, John Henry.txt; Carter, William Arthur.txt"
BIRTHPLACE OF FATHER (State or country),BIRTHPLACE OF FATHER (State or country),12,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
BIRTHPLACE OF MOTHER (State or country),BIRTHPLACE OF MOTHER (State or country),12,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
Contributory Secondary,Contributory Secondary,12,"Dennis, Irvin.txt; Dennis, Louis.txt; Dickerson, Ira.txt"
OCCUPATION (a) Trade,OCCUPATION (a) Trade,12,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
PLACE OF BURIAL OR REMOVAL,PLACE OF BURIAL OR REMOVAL,12,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
St.,St.,12,"Booze Jr, William.txt; Chinn, Purnell.txt; Davis, William C..txt"
15 Filed Date,15 Filed Date,11,"Blanks, James.txt; Brown, Thomas.txt; Dennis, Louis.txt"
3. SEX,SEX,11,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
4. COLOR OR RACE,COLOR_OR_RACE,11,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
7 AGE ds.,7 AGE ds.,11,"Brown, Thomas.txt; Corry, Raymond.txt; Dennis, Louis.txt"
DATE OF DEATH (Day),DATE OF DEATH (Day),11,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
DATE OF DEATH (Month),DATE OF DEATH (Month),11,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
DATE OF DEATH (Year),DATE OF DEATH (Year),11,"Barnes, Joseph.txt; Chinn, Purnell.txt; Cook, Roger.txt"
2. FULL NAME,FULL_NAME,10,"Ames Jr, Fred .txt; Clayton, Paul.txt; Davis, William C..txt"
5. SINGLE,5. SINGLE,10,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
5a. If married,5a. If married,10,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
7 AGE If LESS than 1 day,7 AGE If LESS than 1 day,10,"Ashton, Ernest.txt; Corry, Raymond.txt; Dickerson, Ira.txt"
7. AGE If LESS than 1 day,7. AGE If LESS than 1 day,10,"Anderson, Arthur.txt; Davis, William C..txt; Ennis, Emanuel.txt"
8 OCCUPATION (b) General nature of industry business,8 OCCUPATION (b) General nature of industry business,10,"Blanks, James.txt; Booze Jr, William.txt; Jones, Paul.txt"
DATE OF BIRTH (Day),DATE OF BIRTH (Day),10,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
DATE OF BIRTH (Month),DATE OF BIRTH (Month),10,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
DATE OF BIRTH (Year),DATE OF BIRTH (Year),10,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
M. D.,M. D.,10,"Bacon, John Henry.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
Signed,Signed,10,"Bacon, John Henry.txt; Barnes, Joseph.txt; Booze Jr, William.txt"
Where was disease contracted,Where was disease contracted,10,"Barnes, Joseph.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
10. Date deceased last worked at this occupation (month and year),10. Date deceased last worked at this occupation (month and year),9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
11. Total time (years) spent in this occupation,11. Total time (years) spent in this occupation,9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
15 Registrar,15 Registrar,9,"Ashton, Ernest.txt; Blanks, James.txt; Corry, Raymond.txt"
20 ADDRESS,20 ADDRESS,9,"Dennis, Louis.txt; Dorsey, Henry.txt; Jenkins, John F.txt"
24. Was disease or injury in any way related to occupation of deceased?,24. Was disease or injury in any way related to occupation of deceased?,9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
6. DATE OF BIRTH (month,DATE_OF_BIRTH_(month_day_and_year),9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
8. Trade,8. Trade,9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
9. Industry or business in which work was done,9. Industry or business in which work was done,9,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
and that death occurred on the date stated above,and that death occurred on the date stated above,9,"Barnes, Joseph.txt; Carter, William Arthur.txt; Dennis, Alfred.txt"
17. INFORMANT,17. INFORMANT,8,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
19. UNDERTAKER,19. UNDERTAKER,8,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
22. death is said to have occurred on the date stated above,22. death is said to have occurred on the date stated above,8,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
24. If so,24. If so,8,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Clayton, Paul.txt"
OCCUPATION (b) General nature of industry business,OCCUPATION (b) General nature of industry business,8,"Dennis, Alfred.txt; Dickerson, Ira.txt; Dyson, Allen.txt"
Registrar,Registrar,8,"Bacon, John Henry.txt; Chinn, Purnell.txt; Davis, William C..txt"
15 Filed,15 Filed,7,"Bacon, John Henry.txt; Corry, Raymond.txt; Dennis, Irvin.txt"
16 DATE OF DEATH - Day,DATE_OF_DEATH_Day,7,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Hill Jr, Samuel.txt"
16 DATE OF DEATH - Month,DATE_OF_DEATH_Month,7,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Hill Jr, Samuel.txt"
16 DATE OF DEATH - Year,DATE_OF_DEATH_Year,7,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Hill Jr, Samuel.txt"
16 DATE OF DEATH Day,DATE_OF_DEATH_Day,7,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
16 DATE OF DEATH Month,DATE_OF_DEATH_Month,7,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
16 DATE OF DEATH Year,DATE_OF_DEATH_Year,7,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
7. AGE Days,7. AGE Days,7,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
7. AGE Months,AGE_Months,7,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
7. AGE Years,AGE_Years,7,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
1 PLACE OF DEATH Ward,1 PLACE OF DEATH Ward,6,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
12. BIRTHPLACE (city or town),BIRTHPLACE__(city_or_town),6,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
15 Filed (Year),15 Filed (Year),6,"Ashton, Ernest.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
17. INFORMANT (Address),INFORMANT,6,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
18 LENGTH OF RESIDENCE At place of death ds.,18 LENGTH OF RESIDENCE At place of death ds.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
18 LENGTH OF RESIDENCE At place of death mos.,18 LENGTH OF RESIDENCE At place of death mos.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
18 LENGTH OF RESIDENCE At place of death yrs.,18 LENGTH OF RESIDENCE At place of death yrs.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
18 LENGTH OF RESIDENCE In the State ds.,18 LENGTH OF RESIDENCE In the State ds.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
18 LENGTH OF RESIDENCE In the State mos.,18 LENGTH OF RESIDENCE In the State mos.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
18 LENGTH OF RESIDENCE In the State yrs.,18 LENGTH OF RESIDENCE In the State yrs.,6,"Brown, Thomas.txt; Dennis, Louis.txt; Johnson, Oscar.txt"
19. UNDERTAKER (Address),UNDERTAKER,6,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Accident,23. If death was due to external causes (VIOLENCE) fill in also the following: Accident,6,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
6 DATE OF BIRTH Day,DATE_OF_BIRTH_Day,6,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
6 DATE OF BIRTH Month,DATE_OF_BIRTH_Month,6,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
6 DATE OF BIRTH Year,DATE_OF_BIRTH_Year,6,"Bacon, John Henry.txt; Blanks, James.txt; Corry, Raymond.txt"
Contributory (Secondary) (Duration) ds.,CAUSE_OF_DEATH_Contributory_Secondary,6,"Corry, Raymond.txt; Dorsey, Henry.txt; Johnson, Oscar.txt"
Contributory (Secondary) (Duration) mos.,CAUSE_OF_DEATH_Contributory_Secondary,6,"Corry, Raymond.txt; Dorsey, Henry.txt; Johnson, Oscar.txt"
Contributory (Secondary) (Duration) yrs.,CAUSE_OF_DEATH_Contributory_Secondary,6,"Corry, Raymond.txt; Dorsey, Henry.txt; Johnson, Oscar.txt"
Informant,Informant,6,"Barnes, Joseph.txt; Cook, Roger.txt; Dyson, Allen.txt"
LENGTH OF RESIDENCE (For Hospitals,LENGTH OF RESIDENCE (For Hospitals,6,"Dennis, Alfred.txt"
Local Registrar,Local Registrar,6,"Chinn, Purnell.txt; Cook, Roger.txt; Murray, Harvey E.txt"
UNDERTAKER ADDRESS,UNDERTAKER ADDRESS,6,"Barnes, Joseph.txt; Cook, Roger.txt; Dyson, Allen.txt"
Was there an autopsy?,Was there an autopsy?,6,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Chinn, Purnell.txt"
1 PLACE OF DEATH - County,1 PLACE OF DEATH - County,5,"Hamilton, Arthur.txt; Hill Jr, Samuel.txt; Jones, James.txt"
1. PLACE OF DEATH County,PLACE_OF_DEATH_County,5,"Ames Jr, Fred .txt; Davis, William C..txt; Ennis, Emanuel.txt"
12. BIRTHPLACE (State or country),12. BIRTHPLACE (State or country),5,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Hall, Thomas.txt"
15 Filed (Day),15 Filed (Day),5,"Ashton, Ernest.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
15 Filed (Month),15 Filed (Month),5,"Ashton, Ernest.txt; Booze Jr, William.txt; Carter, William Arthur.txt"
15 Local Registrar,15 Local Registrar,5,"Booze Jr, William.txt; Carter, William Arthur.txt; Jacobs, Edward.txt"
22. Date of operation,22. Date of operation,5,"Clayton, Paul.txt; Ennis, Emanuel.txt; Hunter, George W.txt"
22. I last saw h_ alive on,22. I last saw h_ alive on,5,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
22. Name of operation,22. Name of operation,5,"Clayton, Paul.txt; Ennis, Emanuel.txt; Hunter, George W.txt"
22. Was there an autopsy?,22. Was there an autopsy?,5,"Clayton, Paul.txt; Ennis, Emanuel.txt; Hunter, George W.txt"
22. What test confirmed diagnosis?,22. What test confirmed diagnosis?,5,"Clayton, Paul.txt; Ennis, Emanuel.txt; Hunter, George W.txt"
24. (Address),24. (Address),5,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
24. (Signed),24. (Signed),5,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Ennis, Emanuel.txt"
6 DATE OF BIRTH - Day,DATE_OF_BIRTH_Day,5,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Jones, James.txt"
6 DATE OF BIRTH - Month,DATE_OF_BIRTH_Month,5,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Jones, James.txt"
6 DATE OF BIRTH - Year,DATE_OF_BIRTH_Year,5,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Jones, James.txt"
DATE OF BURIAL (Day),DATE OF BURIAL (Day),5,"Booze Jr, William.txt; Carter, William Arthur.txt; Mines, Charles.txt"
DATE OF BURIAL (Month),DATE OF BURIAL (Month),5,"Booze Jr, William.txt; Carter, William Arthur.txt; Mines, Charles.txt"
DATE OF BURIAL (Year),DATE OF BURIAL (Year),5,"Booze Jr, William.txt; Carter, William Arthur.txt; Mines, Charles.txt"
Informant Address,Informant Address,5,"Barnes, Joseph.txt; Cook, Roger.txt; Dyson, Allen.txt"
Name of operation,Name of operation,5,"Anderson, Arthur.txt; Chinn, Purnell.txt; Davis, William C..txt"
No.,No.,5,"Booze Jr, William.txt; Chinn, Purnell.txt; Clayton, Paul.txt"
(State or country),(State or country),4,"Chinn, Purnell.txt; Davis, William C..txt"
1 PLACE OF DEATH - Village or City,1 PLACE OF DEATH - Village or City,4,"Hamilton, Arthur.txt; Hill Jr, Samuel.txt; Russell, Coley.txt"
1 PLACE OF DEATH St.,1 PLACE OF DEATH St.,4,"Ashton, Ernest.txt; Brown, Thomas.txt; Johnson, Oscar.txt"
1. PLACE OF DEATH (Il death occurred in a hospital or institution,1. PLACE OF DEATH (Il death occurred in a hospital or institution,4,"Williams, Frank.txt"
1. PLACE OF DEATH - County,1. PLACE OF DEATH - County,4,"Clayton, Paul.txt; Hunter, George W.txt; Marshall, William.txt"
1. PLACE OF DEATH - Village or City,1. PLACE OF DEATH - Village or City,4,"Clayton, Paul.txt; Hunter, George W.txt; Marshall, William.txt"
1. PLACE OF DEATH Village or City,PLACE_OF_DEATH_Village_or_City,4,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Saunders, Richard E.txt"
13. FATHER NAME,13. FATHER NAME,4,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Hunter, George W.txt"
14 Informant,14 Informant,4,"Hill Jr, Samuel.txt; Jacobs, Edward.txt; Joffey, Benjamin.txt"
14 Informant Address,14 Informant Address,4,"Hill Jr, Samuel.txt; Jacobs, Edward.txt; Joffey, Benjamin.txt"
14 THE ABOVE IS TRUE TO THE BEST OF MY KNOWLEDGE Informant,INFORMANT,4,"Brown, Thomas.txt; Corry, Raymond.txt; Dorsey, Henry.txt"
15 REGISTRAR,15 REGISTRAR,4,"Dorsey, Henry.txt; Johnson, Oscar.txt; Pratt, Louis.txt"
15. MOTHER MAIDEN NAME,15. MOTHER MAIDEN NAME,4,"Ames Jr, Fred .txt; Ennis, Emanuel.txt; Hunter, George W.txt"
18 LENGTH OF RESIDENCE At place of death ds,18 LENGTH OF RESIDENCE At place of death ds,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 LENGTH OF RESIDENCE At place of death mos,18 LENGTH OF RESIDENCE At place of death mos,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 LENGTH OF RESIDENCE At place of death yrs,18 LENGTH OF RESIDENCE At place of death yrs,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 LENGTH OF RESIDENCE Former or usual residence,18 LENGTH OF RESIDENCE Former or usual residence,4,"Bacon, John Henry.txt; Blanks, James.txt; Dennis, Louis.txt"
18 LENGTH OF RESIDENCE In the State mos,18 LENGTH OF RESIDENCE In the State mos,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
18 LENGTH OF RESIDENCE In the State yrs,18 LENGTH OF RESIDENCE In the State yrs,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; Blanks, James.txt"
"18 Where was disease contracted, if not at place of death?","18 Where was disease contracted, if not at place of death?",4,"Brown, Thomas.txt; Dennis, Irvin.txt; Jacobs, Edward.txt"
19 DATE OF BURIAL (Day),19 DATE OF BURIAL (Day),4,"Ashton, Ernest.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
19 DATE OF BURIAL (Month),19 DATE OF BURIAL (Month),4,"Ashton, Ernest.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
19 DATE OF BURIAL (Year),19 DATE OF BURIAL (Year),4,"Ashton, Ernest.txt; Joffey, Benjamin.txt; Nichols, Caleb Henry.txt"
20. FILED,20. FILED,4,"Ames Jr, Fred .txt; Davis, William C..txt; Saunders, Richard E.txt"
21. DATE OF DEATH Day,21. DATE OF DEATH Day,4,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
21. DATE OF DEATH Month,DATE_OF_DEATH_Month,4,"Ames Jr, Fred .txt; Anderson, Arthur.txt; Davis, William C..txt"
23. If death was due to external causes (VIOLENCE) fill in also the following: Specify whether injury occurred in INDUSTRY,23. If death was due to external causes (VIOLENCE) fill in also the following: Specify whether injury occurred in INDUSTRY,4,"Anderson, Arthur.txt; Ennis, Emanuel.txt; Hall, Thomas.txt"
7 AGE - If LESS than 1 day,7 AGE - If LESS than 1 day,4,"Jones, James.txt; Landman, Milton.txt"
7 AGE - mos.,7 AGE - mos.,4,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Landman, Milton.txt"
7 AGE - yrs.,7 AGE - yrs.,4,"Dennis, Irvin.txt; Hamilton, Arthur.txt; Landman, Milton.txt"
7 AGE ds,7 AGE ds,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; King, John Henry.txt"
7 AGE mos,AGE_Months,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; King, John Henry.txt"
7 AGE yrs,AGE_Years,4,"Ashton, Ernest.txt; Bacon, John Henry.txt; King, John Henry.txt"
7. AGE - Days,7. AGE - Days,4,"Clayton, Paul.txt; Hunter, George W.txt; Marshall, William.txt"
7. AGE - Months,7. AGE - Months,4,"Clayton, Paul.txt; Hunter, George W.txt; Marshall, William.txt"
7. AGE - Years,7. AGE - Years,4,"Clayton, Paul.txt; Hunter, George W.txt; Marshall, William.txt"
8 OCCUPATION - (a) Trade,Trade_profession_or_particular_kind_of_work_done,4,"Hamilton, Arthur.txt; Jones, James.txt; Landman, Milton.txt"
ADDRESS,ADDRESS,4,"Corry, Raymond.txt; Dickerson, Ira.txt; Dixon, Lee.txt"
AGE (ds),AGE (ds),4,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
AGE (mos),AGE (mos),4,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
AGE (yrs),AGE (yrs),4,"Barnes, Joseph.txt; Cook, Roger.txt; Dennis, Alfred.txt"
Contributory Secondary (Duration) ds.,CAUSE_OF_DEATH_Contributory_Secondary,4,"Booze Jr, William.txt; Dennis, Irvin.txt; Dennis, Louis.txt"
Contributory Secondary (Duration) mos.,CAUSE_OF_DEATH_Contributory_Secondary,4,"Booze Jr, William.txt; Dennis, Irvin.txt; Dennis, Louis.txt"
Contributory Secondary (Duration) yrs.,CAUSE_OF_DEATH_Contributory_Secondary,4,"Booze Jr, William.txt; Dennis, Irvin.txt; Dennis, Louis.txt"
INFORMANT,INFORMANT,4,"Chinn, Purnell.txt; Hawkins, Ernest.txt; Jacobs, Edward(1).txt"
If death occurred in a hospital or institution,If death occurred in a hospital or institution,4,"Anderson, Arthur.txt; Landman, Milton.txt; Mines, Charles.txt"
Registered No.,Registered No.,4,"Bacon, John Henry.txt; Dorsey, Henry.txt; Jenkins, John F.txt"
Signed Address,Signed Address,4,"Brown, Thomas.txt; Cook, Roger.txt; Hill Jr, Samuel.txt"
What test confirmed diagnosis?,What test confirmed diagnosis?,4,"Ames Jr, Fred .txt; Chinn, Purnell.txt; Davis, William C..txt"
that I last saw him alive on (Day),that I last saw him alive on (Day),4,"Dixon, Lee.txt; Mines, Charles.txt; Nichols, Caleb Henry.txt"
that I last saw him alive on (Month),that I last saw him alive on (Month),4,"Dixon, Lee.txt; Mines, Charles.txt; Nichols, Caleb Henry.txt"
that I last saw him alive on (Year),that I last saw him alive on (Year),4,"Dixon, Lee.txt; Mines, Charles.txt; Nichols, Caleb Henry.txt"
(Signed) (Address),(Signed) (Address),3,"Evans, James.txt; Robinson, Paul.txt; Wall, Jesse.txt"
(Signed) Date,(Signed) Date,3,"King, John Henry.txt; Mines, Charles.txt; Tilghman, John W.txt"
(a) Residence: No.,FULL_NAME_(a)_Residence_No,3,"Anderson, Arthur.txt; Chinn, Purnell.txt; Davis, William C..txt"
